Lektion,Deutsch,Turkisch,Arabisch (العربية),Farsi (فارسی),Kurdisch (Kurmancî),Ukrainisch (Українська),Englisch,Beispiel Satz
1,jemandem etwas ausmachen,Birine sorun teşkil etmek,يضايق شخصاً ما,مزاحم کسی شدن,Ji bo yekî ferq kirin,заважати / мати значення,to bother s.o.,"Würde es dir etwas ausmachen, wenn wir das Meeting um eine Stunde verschieben?"
1,bezeichnen,Tanımlamak,وصف / سمى,نامیدن / توصیف کردن,Navandin / Binavkirin,називати / позначати,to designate / describe,Man bezeichnet ihn oft als den fähigsten Experten auf diesem speziellen Fachgebiet.
1,sich verlassen auf (+Akk),Birine güvenmek,يعتمد على,اعتماد کردن به,Pişta xwe germ kirin,покладатися на,to rely on,In schwierigen Zeiten muss man sich voll und ganz auf seine Freunde verlassen können.
1,verstehen unter (+Dat),...den bir şey anlamak,يقصد بـ / يفهم من,فهمیدن از,Fêmkirin ji,розуміти під чимось,to understand by,Was genau verstehen Sie unter dem Begriff der sozialen Gerechtigkeit?
1,hin- und hergerissen sein,Kararsız kalmak,متردد / حائر,دو دل بودن,Di navberê de man,вагатися,to be torn,"Ich bin hin- und hergerissen, ob ich das Jobangebot annehmen oder ablehnen soll."
1,(sich) aus den Augen verlieren,İzini kaybetmek,فقدان التواصل,گم کردن همدیگر,Hevdu windakirin,втратити з виду,to lose touch,"Nach der Schule haben wir uns leider völlig aus den Augen verloren, was ich bedaure."
1,lose,"Gevşek, serbest",مفكك / غير مترابط,شل / رها,Sist / Berdayî,вільний / незв'язаний,loose / casual,"Wir haben nur einen losen Kontakt zu den Nachbarn, die früher neben uns wohnten."
1,einerseits – andererseits,Bir yandan – öte yandan,من ناحية - ومن ناحية أخرى,از یک طرف - از طرف دیگر,Ji aliyekî - ji aliyê din,з одного боку - з іншого,on the one hand – on the other,"Einerseits möchte ich reisen, andererseits muss ich für meine Zukunft sparen."
1,entweder – oder,Ya ... ya da,إما - أو,یا - یا,Yan - yan jî,або - або,either – or,Wir können uns entweder im Kino treffen oder wir gehen direkt ins Restaurant.
1,nicht nur – sondern auch,Sadece değil ... hem de,ليس فقط - بل أيضاً,نه تنها - بلکه,Ne tenê - her wiha,не тільки - а й,not only – but also,"Er spricht nicht nur fließend Deutsch, sondern auch Japanisch und Arabisch."
1,sowohl – als auch,Hem ... hem de,كلاهما / هذا وذاك,هم - هم,Hem - hem jî,як - так і,both – and,Sowohl der Chef als auch die Mitarbeiter waren mit dem Ergebnis sehr zufrieden.
1,weder – noch,Ne ... ne de,لا - ولا,نه - نه,Ne - ne jî,ні - ні,neither – nor,"Ich habe heute weder Zeit noch Lust, mich mit diesen komplizierten Akten zu befassen."
1,zwar – aber,Gerçi ... ama,صحيح - لكن,هرچند - اما,Her çend - lê,хоча - але,indeed – but,"Das Auto ist zwar sehr teuer, aber es ist technisch auf dem allerneuesten Stand."
1,"der Auftrag, -¨e","Sipariş, görev",طلب / مهمة,سفارش / مأموریت,Siparîş / Erker,замовлення,order / task,"Die Firma erhielt den Auftrag, die IT-Systeme der Universität zu modernisieren."
1,in Auftrag geben,Sipariş vermek,يكلف بمهمة,سفارش دادن,Siparîş dan,замовляти,to commission,Ich habe die Reparatur meines Laptops bereits bei einer Fachfirma in Auftrag gegeben.
1,die Daten (Pl.),Veriler,بيانات,داده‌ها,Dane,дані,data,Der Schutz persönlicher Daten ist im digitalen Zeitalter von entscheidender Bedeutung.
1,Daten auswerten,Verileri değerlendirmek,تحليل البيانات,ارزیابی داده‌ها,Nirxandina daneyan,аналізувати дані,to analyze data,"Forscher müssen die gesammelten Daten sorgfältig auswerten, um Schlüsse zu ziehen."
1,Daten erfassen,Verileri toplamak,جمع البيانات,جمع‌آوری داده‌ها,Berhevkirina daneyan,збирати дані,to collect data,Mit der neuen Software lassen sich statistische Daten viel effizienter erfassen.
1,die Erdbevölkerung (Sg.),Dünya nüfusu,سكان العالم,جمعیت جهان,Nifûsa cîhanê,населення Землі,world population,Die wachsende Erdbevölkerung stellt die Menschheit vor enorme ökologische Probleme.
1,"der Fakt, -en","Gerçek, olgu",حقيقة / واقع,حقیقت / واقعیت,Rastî / Fakt,факт,fact,"Es ist ein unumstößlicher Fakt, dass sich das globale Klima in den letzten Jahren gewandelt hat."
1,"die Freundschaftsanfrage, -n",Arkadaşlık isteği,طلب صداقة,درخواست دوستی,Daxwaza hevaltiyê,запит у друзі,friend request,Gestern habe ich eine überraschende Freundschaftsanfrage von einem alten Freund erhalten.
1,"der Nutzer, -",Kullanıcı,مستخدم,کاربر,Bikarhêner,користувач,user,Die Webseite bietet den Nutzern viele hilfreiche Funktionen zur Selbstorganisation.
1,"die Redensart, -en","Tabir, deyim",تعبير / اصطلاح,اصطلاح / ضرب‌المثل,Gotinên pêşiyan,вислів,idiom / phrase,"Es gibt viele deutsche Redensarten, deren Bedeutung man nicht wörtlich übersetzen kann."
1,ermöglichen,Mümkün kılmak,يتيح / يمكن,ممکن ساختن,Pêkan kirin,робити можливим,to enable,"Stipendien ermöglichen es begabten Studenten, ohne finanzielle Sorgen zu studieren."
1,vernetzt sein,Bağlantılı olmak,مرتبط / متصل,متصل بودن,Girêdayî bûn,бути підключеним,to be networked,Heutzutage sind Menschen auf der ganzen Welt über soziale Medien vernetzt.
1,über sechs Ecken kennen,Dolaylı tanımak,معرفة بعيدة,از واسطه‌ها شناختن,Bi riyên dûr naskirin,знати через знайомих,to know via 6 degrees,Ich kenne den berühmten Schauspieler nur über sechs Ecken durch einen Freund.
1,mittlerweile,Bu arada,في هذه الأثناء,در این میان,Di vê navberê de,тим часом,by now / meanwhile,Ich habe mich mittlerweile sehr gut in der neuen Stadt und im Job eingelebt.
1,"die Ankündigung, -en",Duyuru,إعلان / تنبيه,آگهی / اطلاعیه,Bang / Daxuyanî,оголошення,announcement,Alle warteten gespannt auf die offizielle Ankündigung des neuen Produkts.
1,"der Eindruck, -¨e",İzlenim,انطباع,حس / اثر,Bandor,враження,impression,Sein souveränes Auftreten hat bei den Kunden einen positiven Eindruck hinterlassen.
1,den Eindruck haben,İzlenime sahip olmak,لديه انطباع,حس داشتن,Bandora xwe hebe,мати враження,to have the impression,"Ich habe den Eindruck, dass wir uns in dieser Diskussion nur im Kreis drehen."
1,"die Gesprächsrunde, -n",Sohbet grubu,حلقة نقاش,جلسه گفتگو,Civat,дискусійна група,discussion round,An der Gesprächsrunde nahmen Experten aus verschiedenen Fachbereichen teil.
1,"der Ratgeber, -","Rehber, danışman",مستشار / دليل,راهنما / مشاور,Şîretkar,порадник,advisor / guidebook,"Dieses Buch ist ein nützlicher Ratgeber für Menschen, die sich beruflich verändern wollen."
1,die Verwirrung (Sg.),Kafa karışıklığı,حيرة / ارتباك,گیجی / سردرگمی,Tevlîhevî,збентеження,confusion,Die widersprüchlichen Aussagen stifteten bei der Polizei große Verwirrung.
1,auffallen,Dikkat çekmek,يلفت النظر,جلب توجه کردن,Bala kişandin,впадати в око,to notice / stand out,"Es ist mir sofort aufgefallen, dass du heute besonders gut gelaunt zu sein scheinst."
1,feststellen,Saptamak,يلاحظ / يقرر,تشخیص دادن,Tespît kirin,встановлювати,to determine / state,Der Arzt konnte nach der Untersuchung keine körperliche Ursache feststellen.
1,oberflächlich,Yüzeysel,سطحي,سطحی,Serpiştî,поверхневий,superficial,Man sollte Menschen niemals nur nach ihrem oberflächlichen Aussehen beurteilen.
1,"das Bedürfnis, -se",Gereksinim,حاجة / احتياج,نیاز,Hewcedarî,потреба,need,Nach einer anstrengenden Woche hat er ein starkes Bedürfnis nach Ruhe.
1,"die Beziehung, -en",İlişki,علاقة,رابطه,Têkilî,стосунки,relationship,Vertrauen und Respekt sind die Grundlagen für eine funktionierende Beziehung.
1,eine Beziehung haben,İlişkisi olmak,لديه علاقة,رابطه داشتن,Têkiliyek hebe,мати стосунки,to have a relationship,Die beiden haben schon seit über fünf Jahren eine glückliche Beziehung.
1,die Dankbarkeit (Sg.),Minnettarlık,امتنان / شكر,سپاسگزاری,Spasdarî,вдячність,gratitude,Aus Dankbarkeit für die Hilfe lud er seine Nachbarn zum Abendessen ein.
1,"die Emotion, -en",Duygu,عاطفة,احساس,Hest,емоція,emotion,"Musik hat die Kraft, tiefe Emotionen auszulösen, die Worte nicht beschreiben können."
1,"der Komiker, -",Komedyen,كوميدي,کمدین,Komîdyen,комік,comedian,Der talentierte Komiker brachte das gesamte Publikum innerhalb von Minuten zum Lachen.
1,"der Lebensabschnitt, -e",Hayat dönemi,مرحلة حياتية,مرحله‌ای از زندگی,Serdemeke jiyanê,етап життя,stage of life,"Die Schulzeit ist ein prägender Lebensabschnitt, den man meist nie ganz vergisst."
1,"die Lebensphase, -n",Hayat evresi,فترة حياتية,فاز زندگی,Qonaxa jiyanê,фаза життя,phase of life,Jede Lebensphase bringt ihre ganz eigenen Herausforderungen und Chancen mit sich.
1,"der Teenager, -","Genç, ergen",مراهق,نوجوان,Nûgihiştî,підліток,teenager,"Als Teenager hat man oft das Gefühl, von der Welt nicht verstanden zu werden."
1,zusammenkommen mit,Biriyle buluşmak,يجتمع مع,با کسی جمع شدن,Bi hev re hatin,збиратися з,to get together with,Am Wochenende werde ich mit meiner ganzen Familie zusammenkommen.
1,befreundet sein mit,Biriyle dost olmak,مصادق لـ,دوست بودن با,Heval bûn bi,бути друзями з,to be friends with,Ich bin schon seit meiner frühesten Kindheit eng mit meinem Nachbarn befreundet.
1,Freundschaft schließen mit,Dostluk kurmak,يصادق / يكون صداقة,دوست شدن با,Hevaltî kirin,потоваришувати з,to make friends with,"Es fällt ihr leicht, in einer neuen Umgebung schnell neue Freundschaften zu schließen."
1,"der Altersunterschied, -e",Yaş farkı,فرق السن,اختلاف سنی,Cudahiya temen,різниця у віці,age difference,Trotz des großen Altersunterschieds verstehen sich die beiden Partner ausgezeichnet.
1,"der Einblick, -e","Bakış açısı, içyüzü",نظرة خاطفة / اطلاع,بینش / نگاه اجمالی,Dîtin / Agahî,погляд / ознайомлення,insight,Das Praktikum gewährt einen tiefen Einblick in den täglichen Berufsalltag.
1,"das Feedback, -s",Geri bildirim,تغذية راجعة,بازخورد,Feedback,зворотний зв'язок,feedback,Konstruktives Feedback ist für die berufliche Entwicklung unverzichtbar.
1,"die Folie, -n","Slayt, folyo",شريحة عرض,اسلاید,Pelik / Folyo,слайд,slide,Bitte richten Sie Ihre Aufmerksamkeit auf die nächste Folie der Präsentation.
1,"das Inhaltsverzeichnis, -se",İçindekiler,فهرس المحتويات,فهرست مطالب,Naverok,зміст,table of contents,Das Inhaltsverzeichnis gibt dem Leser eine gute Übersicht über das Fachbuch.
1,"der Konkurrent, -en",Rakip,منافس,رقیب,Hevrik,конкурент,competitor,Unsere Firma muss sich gegen starke globale Konkurrenten behaupten.
1,"der Übergang, -¨e",Geçiş,انتقال / عبور,گذر / انتقال,Derbasbûn,перехід,transition,Der Übergang vom Studium in den ersten Job ist oft mit Stress verbunden.
1,erwähnen,Bahsetmek,يذكر / ينوه,ذکر کردن,Nav birin / Gotin,згадувати,to mention,"Er vergaß zu erwähnen, dass er bereits über praktische Erfahrung verfügt."
1,abenteuerlustig,Maceracı,محب للمغامرة,ماجراجو,Serpêhatîhez,авантюрний,adventurous,Mein Bruder ist sehr abenteuerlustig und reist oft alleine durch ferne Länder.
1,außergewöhnlich,Olağanüstü,استثنائي,غیرعادی,Awarte,надзвичайний,extraordinary,"Sie besitzt ein außergewöhnliches Talent für Mathematik, das früh gefördert wurde."
1,extrovertiert,Dışa dönük,منفتح,برون‌گرا,Vekirî,екстровертований,extroverted,"Extrovertierte Menschen haben meist keine Hemmungen, auf Fremde zuzugehen."
1,hilfsbereit,Yardımsever,متعاون,آماده به کمک,Alîkar,готовий допомогти,helpful,In unserem Viertel sind die Menschen sehr hilfsbereit und unterstützen sich.
1,introvertiert,İçe dönük,منطوٍ,درون‌گرا,Girtî,інтровертований,introverted,"Introvertierte Personen ziehen es vor, in kleineren Gruppen oder alleine zu arbeiten."
1,nachdenklich,Düşünceli,متأمل / غارق في التفكير,متفکر,Bifikir,задумливий,thoughtful,Nach dem Gespräch über die Zukunft wirkte sie sehr nachdenklich.
1,risikofreudig,Risk alan,محب للمخاطرة,ریسک‌پذیر,Rîskhez,схильний до ризику,risk-taking,"Erfolgreiche Unternehmer müssen oft risikofreudig sein, um Neues zu wagen."
1,rücksichtslos / -voll,Düşüncesiz / Saygılı,متهور / مراعٍ للآخرين,بی‌ملاحظه / با ملاحظه,Bêrehm / Bihiş,нетактовний / тактовний,inconsiderate,"Es ist äußerst rücksichtslos, nachts in einer Mietwohnung laut Musik zu hören."
1,"die Auswertung, -en",Değerlendirme,تقييم / تحليل,ارزیابی,Nirxandin,оцінювання,evaluation,Die statistische Auswertung der Ergebnisse wird mehrere Tage dauern.
1,"die Rückseite, -n",Arka yüz,الجانب الخلفي,پشت / عقب,Pişt / Aliyê paş,зворотний бік,back side,Weitere Informationen finden Sie auf der Rückseite der Verpackung.
1,"die Vorderseite, -n",Ön yüz,الجانب الأمامي,جلو / پیش,Pêş / Aliyê pêş,передній біk,front side,Auf der Vorderseite der Medaille ist das Wappen der Stadt eingraviert.
1,bewerten,Değerlendirmek,يقيم,ارزیابی کردن,Nirxandin,оцінювати,to evaluate / rate,Die Schüler sollten die Qualität des Unterrichts anonym bewerten.
1,gestalten,"Tasarlamak, şekillendirmek",يصمم / يشكل,شکل دادن,Şêwe dan,оформлювати,to design / shape,Jeder Mensch sollte sein Leben nach eigenen Vorstellungen gestalten können.
1,Kontakte pflegen,İlişkileri korumak,الحفاظ على التواصل,حفظ روابط,Têkiliyan baş girtin,підтримувати контакти,to maintain contacts,"Es ist heute einfacher, alte Kontakte über weite Distanzen zu pflegen."
1,"der Besen, -",Süpürge,مكنسة,جارو,Sivnik,мітла,broom,Mit einem großen Besen kehrte er den Schmutz und das Laub von der Terrasse.
1,sorgen für,"Sağlamak, bakmak",يهتم بـ / يؤمن,مراقبت کردن,Miqate bûn,піклуватися про,to provide / care,"Staatliche Institutionen müssen dafür sorgen, dass alle Zugang zu Bildung haben."
1,(sich) vertraut machen mit,"Alışmak, öğrenmek",يتآلف مع,آشنا شدن با,Hînî bûn,знайомитися з,to familiarize oneself,Vor der Reise sollten Sie sich mit den lokalen Bräuchen vertraut machen.
1,mental,Zihinsel,عقلي / ذهني,ذهنی,Hişî,ментальний,mental,Mentale Stärke ist im Sport oft genauso wichtig wie körperliche Fitness.
2,"das Profil, -e",Profil,ملف شخصي,نمایه / پروفایل,Profîl,профіль,profile,"Er hat sein berufliches Profil auf LinkedIn aktualisiert, um attraktivere Jobangebote zu erhalten."
2,"die Anforderung, -en","Talep, gereklilik",متطلب / شرط,تقاضا / الزام,Daxwaz / Merc,вимога,requirement,"Die Anforderungen für diese Stelle sind hoch, da fließende Japanischkenntnisse verlangt werden."
2,"der Bereich, -e","Alan, bölge",مجال / نطاق,حوزه / بخش,Qad / War,область / сфера,area / field,Sie arbeitet im Bereich der künstlichen Intelligenz und forscht an neuen Algorithmen.
2,"das Bundesgebiet, -e",Federal bölge,الأراضي الاتحادية,قلمرو فدرال,Herêma federal,територія федерації,federal territory,Das Unternehmen bietet seine Dienstleistungen im gesamten Bundesgebiet an.
2,"die Klinik, -en","Klinik, hastane",عيادة / مستشفى,درمانگاه / کلینیک,Klînîk / Nexweşxane,клініка,clinic / hospital,Nach seinem Unfall wurde er sofort in eine spezialisierte Klinik für Wirbelsäulenchirurgie gebracht.
2,"das Konzept, -e","Konsept, taslak",مفهوم / مخطط,طرح / کانسپت,Konsept / Plan,концепція,concept,"Wir müssen ein neues Konzept entwickeln, um die Effizienz unserer Produktionsabläufe zu steigern."
2,"die Messe, -n",Fuar,معرض,نمایشگاه,Pêşangeh,ярмарок / виставка,trade fair,Auf der Frankfurter Buchmesse präsentieren Verlage aus aller Welt ihre neuesten Publikationen.
2,"die Schicht, -en","Vardiya, tabaka",وردية / طبقة,نوبت کاری / لایه,Nobet / Tebeqe,зміна / шар,shift,"In diesem Werk wird in drei Schichten gearbeitet, sodass die Maschinen niemals stillstehen."
2,"der Schichtdienst, -e",Vardiyalı çalışma,نظام الورديات,کار نوبتی,Karê bi nobet,робота змінами,shift work,"Der Schichtdienst ist körperlich sehr anstrengend, da er den natürlichen Schlafrhythmus stört."
2,"die Spontaneität, -en",Kendiliğindenlik,عفوية,خودجوشی,Xweserî,спонтанність,spontaneity,In diesem kreativen Beruf ist ein gewisses Maß an Spontaneität und Flexibilität unerlässlich.
2,"das Unternehmen, -","İşletme, şirket",شركة / مؤسسة,شرکت / بنگاه,Parganî / Kompanî,підприємство,company,"Das mittelständische Unternehmen plant, seine Produktion im nächsten Jahr ins Ausland zu verlegen."
2,"die Visitenkarte, -n",Kartvizit,بطاقة عمل,کارت ویزیت,Karta serdanê,візитка,business card,"Er überreichte mir seine Visitenkarte, damit ich ihn bezüglich des Projekts kontaktieren kann."
2,"die Vorlesung, -en",Üniversite dersi,محاضرة جامعية,سخنرانی / درس,Dersa zanîngehê,лекція,lecture,"Die Vorlesung über theoretische Physik war so kompliziert, dass nur wenige Studenten folgen konnten."
2,erläutern,"Açıklamak, izah etmek",يوضح / يشرح,توضیح دادن,Şirove kirin,пояснювати,to explain,Könnten Sie bitte die genauen Details der neuen Vertragsbedingungen ausführlicher erläutern?
2,forschen,Araştırmak,يبحث / يستقصي,پژوهش کردن,Lêkolîn kirin,досліджувати,to research,Wissenschaftler forschen weltweit an einem wirksamen Impfstoff gegen diese seltene Krankheit.
2,knüpfen,"Bağlamak, düğümlemek",يربط / يعقد,گره زدن,Girêdan,зав'язувати,to tie / to establish (e.g. contacts),"Es ist auf Geschäftsreisen wichtig, neue Kontakte zu knüpfen."
2,Kontakte knüpfen,Bağlantı kurmak,إقامة اتصالات,ارتباط برقرار کردن,Têkilî danîn,налагоджувати контакти,to establish,"Auf Fachkonferenzen hat man die ideale Gelegenheit, wertvolle berufliche Kontakte zu knüpfen."
2,mobil sein,Hareketli/mobil olmak,أن يكون متنقلاً,سیار بودن,Gerok bûn,бути мобільним,to be mobile,"In der heutigen Arbeitswelt wird von vielen Arbeitnehmern erwartet, dass sie zeitlich und örtlich mobil sind."
2,ins Stocken geraten,"Duraksamak, tıkanmak",يتوقف / يتلعثم,به لکنت افتادن,Asê man,застрягати / зупинятися,to falter / stall,"Die Verhandlungen sind ins Stocken geraten, da sich beide Parteien nicht über den Preis einigen konnten."
2,tätig sein,Çalışıyor olmak,يعمل / ينشط,فعال بودن,Çalak bûn / Şixulîn,працювати / бути діяльним,to be active/employed,Er ist seit über zehn Jahren als freiberuflicher Übersetzer für verschiedene Verlage tätig.
2,zur Verfügung haben,Elinin altında bulunmak,يمتلك / تحت تصرفه,در اختیار داشتن,Di dest de bûn,мати у розпорядженні,to have available,Für das neue Projekt haben wir leider nur ein sehr begrenztes Budget zur Verfügung.
2,"die Ablage, -en","Dosyalama, evrak rafı",حفظ الملفات,بایگانی,Cihê peldankan,архів / поличка для паперів,filing,"Nach dem Feierabend muss ich noch die gesamte Ablage erledigen, damit das Büro ordentlich ist."
2,"der Assistent, -en","Asistan, yardımcı",مساعد,دستیار,Alîkar,асистент,assistant,Der Assistent der Geschäftsführung ist für die gesamte Terminplanung des Chefs verantwortlich.
2,"der Bereichsleiter, -",Bölüm müdürü,مدير قسم,مدیر بخش,Rêveberê beşê,керівник відділу,department head,"Der Bereichsleiter traf die Entscheidung, die Marketingstrategie für das nächste Quartal zu ändern."
2,"die Konferenz, -en",Konferans,مؤتمر,کنفرانس,Konferans,конференція,conference,An der internationalen Konferenz nahmen Vertreter aus über 50 verschiedenen Ländern teil.
2,"die Position, -en","Pozisyon, konum",منصب / مكانة,موقعیت / سمت,Meqam / Pozîsyon,позиція / посада,position,Nach jahrelanger harter Arbeit hat sie endlich eine leitende Position im Unternehmen erreicht.
2,"der Projektleiter, -",Proje yöneticisi,مدير مشروع,مدیر پروژه,Rêveberê projeyê,керівник проекту,project manager,"Als Projektleiter muss er sicherstellen, dass alle Deadlines termingerecht eingehalten werden."
2,"die Unterlage, -n","Belge, doküman",وثيقة / مستند,سند / مدرک,Belge / Dokûment,документ / папір,document,Bitte bringen Sie alle relevanten Unterlagen zum Vorstellungsgespräch in einer Mappe mit.
2,(sich) durchsetzen,Sözünü geçirmek,يفرض نفسه,تثبیت کردن خود,Ser xistin,пробиватися / наполягати,to assert oneself,"Es ist oft schwierig, sich mit innovativen Ideen in einer konservativen Firma durchzusetzen."
2,dominant,"Baskın, egemen",مهيمن / مسيطر,سلطه‌جو,Serdest,домінантний,dominant,Sein dominantes Verhalten während der Besprechung unterband leider jegliche kreative Diskussion.
2,durchsetzungsstark,"Dişli, sözünü geçiren",قوي الشخصية,بااراده / قاطع,Biryardar,наполегливий,assertive,Für die Führungsposition suchen wir eine durchsetzungsstarke Persönlichkeit mit Erfahrung.
2,ehrgeizig,Hırslı,طموح,جاه‌طلب,Bi daxwaz,честолюбний,ambitious,"Er ist sehr ehrgeizig und arbeitet hart daran, so schnell wie möglich befördert zu werden."
2,strukturiert,"Düzenli, planlı",منظم / مهيكل,سازمان‌یافته,Bi pergal,структурований,structured,"Eine strukturierte Arbeitsweise hilft dabei, auch in stressigen Phasen den Überblick zu behalten."
2,teamfähig,Ekip çalışmasına uygun,قادر على العمل الجماعي,دارای روحیه تیمی,Karîna komî,здатний працювати в команді,able to work in a team,"In unserer Agentur legen wir großen Wert darauf, dass neue Mitarbeiter freundlich und teamfähig sind."
2,unabhängig,Bağımsız,مستقل,مستقل,Serbixwe,незалежний,independent,"Als Freiberufler genießt man den Vorteil, finanziell und zeitlich völlig unabhängig zu sein."
2,"die Arbeitskraft, -¨e",İş gücü,قوة عاملة,نیروی کار,Hêza karker,робоча сила,workforce,Aufgrund des Fachkräftemangels mangelt es vielen Betrieben an qualifizierten Arbeitskräften.
2,"der Effekt, -e","Etki, sonuç",تأثير / مفعول,اثر / نتیجه,Bandor,ефект,effect,Die Senkung der Steuern hatte leider nicht den gewünschten Effekt auf das Wirtschaftswachstum.
2,"die Motivation, -en",Motivasyon,تحفيز,انگیزه,Motîvasyon,мотивація,motivation,"Ohne die richtige Motivation ist es schwer, langfristig hohe Leistungen im Beruf zu erbringen."
2,"die Reportage, -n",Röportaj,تحقيق صحفي,گزارش,Rapor / Hevpeyvîn,репортаж,reportage,Die packende Reportage informierte über die schwierigen Arbeitsbedingungen in Textilfabriken.
2,"der Therapeut, -en",Terapist,معالج,درمانگر,Terpîst,терапевт,therapist,"Nach seinem Burnout suchte er regelmäßig einen Therapeuten auf, um wieder gesund zu werden."
2,"die Veränderung, -en",Değişiklik,تغيير,تغییر,Guhertin,зміна,change,Die digitale Transformation bringt radikale Veränderungen für den gesamten Arbeitsmarkt mit sich.
2,"der Zusammenbruch, -¨e","Çöküş, kriz",انهيار,فروپاشی,Hilweşîn,крах / зрив,collapse,Der finanzielle Zusammenbruch der Firma kam für die meisten Mitarbeiter völlig überraschend.
2,stammen von,...den gelmek/çıkmak,ينحدر من,ناشی شدن از,Jê hatin,походити від,to stem from,Viele der heute verwendeten medizinischen Begriffe stammen ursprünglich vom Lateinischen ab.
2,spüren,Hissetmek,يشعر / يحس,حس کردن,Hîs kirin,відчувати,to feel / sense,"Man konnte die Anspannung im Raum förmlich spüren, bevor der Chef die Entlassungen verkündete."
2,erfahren sein (in),Deneyimli olmak,خبير في,با تجربه بودن,Ezmûndar bûn,бути досвідченим у,to be experienced,Sie ist seit vielen Jahren im Bereich des Projektmanagements äußerst erfahren und kompetent.
2,begeistert,"Coşkulu, hayran",متحمس,مشتاق,Bi kelecan,захоплений,enthusiastic,"Die Kunden waren von dem neuen Produktdesign so begeistert, dass die Verkaufszahlen stiegen."
2,"die Persönlichkeit, -en",Kişilik,شخصية,شخصیت,Kesayetî,особистість,personality,"In diesem Beruf braucht man eine starke Persönlichkeit, um mit Kritik angemessen umzugehen."
2,"die Steigerung, -en","Artış, yükseliş",زيادة / تصعيد,افزایش,Zêdebûn,зростання / підвищення,increase,Eine kontinuierliche Steigerung der Produktivität ist das Ziel der neuen Unternehmensführung.
2,"der Umsatz, -¨e",Ciro,مبيعات / إيراد,گردش مالی,Dahat,оборот (грошей),turnover / sales,Trotz der Wirtschaftskrise konnte die Firma ihren Umsatz im Vergleich zum Vorjahr leicht steigern.
2,"die Werbeaktion, -en",Reklam kampanyası,حملة إعلانية,فعالیت تبلیغاتی,Kampanyaya reklamê,рекламна акція,advertising campaign,Die groß angelegte Werbeaktion in den sozialen Medien hat viele neue Kunden angelockt.
